"item_id","a","b","c"
"L1",1.42945165559104,-3.25375908124521,0
"L2",1.30269012657664,-4.09611171357309,0
"L3",1.68614455101862,-3.30289297537428,0
"L4",1.84269499436609,-2.47656965888097,0
"L5",1.98836257499209,-2.10489749854765,0
"L6",1.5313922526118,-0.973206226027015,0
"L7",1.49665386316093,0.544764990239009,0
"L8",2.27835300362842,0.509931882622497,0
"L9",3.05307222897108,0.862474375426889,0
"L10",4.2528663432246,1.15155585123439,0
"L11",4.67633893854117,1.48473813841784,0
"L12",8.48288999071145,1.48824793942552,0
"L13",8.35169731678807,1.68586448574724,0
"L14",12.0150703872186,1.73656824369469,0
"L15",10.1616078714467,1.79114100767153,0
"L16",19.3078107305249,1.77606443020596,0
"L17",14.3108764227491,1.86299772911008,0
"L18",24.6343319015443,1.88473582703671,0
"L19",39.5404867833543,1.94017661276444,0
"L20",39.583579458994,1.94794443339088,0
"L21",34.9327905495642,1.9687193597285,0
