"item_id","a","b","c"
"L1",1.72238136455939,-2.97800480426843,0
"L2",2.51504850334188,-3.02850035016961,0
"L3",2.40745614974537,-2.71111982632371,0
"L4",2.01116530564547,-2.3516677444618,0
"L5",2.15814398820939,-1.97819351885492,0
"L6",1.71866292606162,-0.965353361862066,0
"L7",1.52987048524609,0.435919275684436,0
"L8",2.96262488781526,0.358400119638906,0
"L9",3.07762618621598,0.808095050672816,0
"L10",4.25426478553553,1.07600624020243,0
"L11",6.10747794521854,1.31915791570707,0
"L12",9.38155824373842,1.37464636708541,0
"L13",10.9372309696275,1.54205516682685,0
"L14",13.8234619635007,1.5346896504678,0
"L15",16.3819964839092,1.57507536334724,0
"L16",16.7753860621509,1.62844999686703,0
"L17",17.2661898773279,1.66236358144989,0
"L18",22.0827492436788,1.67615268319206,0
"L19",23.2946735430857,1.71332256373574,0
"L20",28.4332553553755,1.75891571686525,0
"L21",34.1579681676633,1.7756169198946,0
