AccountId,AssessmentId,AssessmentVersionId,Score,Percentile,Level,FailedLevels,CreationDate
703986,20,114,27,0,11,"12:1:10,12:2:10,12:3:11,12:4:11,13:1:11",2025-11-06 14:16:14
703517,20,114,33,0,13,"13:1:12,13:2:12,14:1:12,14:2:13,15:1:13",2025-11-06 14:13:53
704698,20,114,33,0,13,"11:1:9,12:1:10,14:1:13,14:2:13,15:1:13",2025-11-06 14:09:17
704675,20,114,11,0,5,"5:1:3,5:2:4,6:1:4,6:2:4,7:1:5",2025-11-06 13:51:33
703985,20,114,46,0,17,"15:1:13,15:2:14,17:1:16,19:1:17,19:2:18",2025-11-06 13:44:08
704682,20,114,71,0,25,"20:1:18,20:2:19,21:1:20,23:1:22,27:1:26",2025-11-06 13:36:13
503753,20,114,66,0,23,"20:1:19,23:1:21,23:2:22,24:1:22,25:1:23",2025-11-06 13:26:45
704000,20,114,29,0,11,"6:1:4,12:1:10,12:2:10,12:3:11,13:1:12",2025-11-06 13:26:33
704643,20,114,39,0,14,"12:1:11,13:1:11,15:1:13,15:2:14,16:1:15",2025-11-06 13:26:21
690324,20,114,0,0,2,"2:1:1,2:2:1,2:3:2,3:1:2,4:1:2",2025-11-06 12:56:09
690324,20,114,26,0,10,"10:1:9,11:1:9,11:2:10,12:1:10,12:2:11",2025-11-06 12:55:17
703984,20,114,52,0,19,"18:1:17,18:2:17,19:1:17,21:1:19,21:2:20",2025-11-06 12:39:53
703911,20,114,11,0,5,"6:1:4,6:2:5,7:1:5,7:2:5,7:3:6",2025-11-06 12:33:33
703433,20,114,20,0,8,"7:1:5,7:2:6,9:1:8,10:1:8,10:2:9",2025-11-06 12:29:00
703952,20,114,54,0,19,"15:1:13,15:2:14,18:1:17,21:1:19,21:2:20",2025-11-06 12:03:31
704581,20,114,60,0,22,"14:1:12,14:2:13,19:1:18,21:1:20,24:1:22",2025-11-06 11:56:48
704192,20,114,49,0,18,"13:1:11,18:1:16,19:1:18,19:2:18,20:1:19",2025-11-06 11:55:46
704649,20,114,28,0,11,"11:1:9,12:1:10,12:2:10,12:3:11,13:1:11",2025-11-06 11:44:18
703946,20,114,41,0,15,"9:1:8,14:1:12,14:2:13,14:3:13,17:1:16",2025-11-06 11:29:24
